seriesName,mid,matchTitle,matchFormat,matchStatus,teamOne,teamTwo,matchDate,matchVenue,name_bat,dismissal,runs_bat,balls,fours,sixes,strikeRate,batlineup,inn,cname_bat,lname,name_bowl,overs,maidens,runs_bowl,wickets,noBalls,wides,eco,bwlineup,cname_bowl,lineup,id,name,team
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Yashasvi Jaiswal,c Abhinav Manohar b Simarjeet Singh,1,5,0,0,20.0,1,inn2,Yashasvi Jaiswal,Jaiswal,,,,,,,,,,,1.0,13940.0,Yashasvi Jaiswal,Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Sanju Samson,c Klaasen b Harshal Patel,66,37,7,4,178.38,2,inn2,Sanju Samson,Samson,,,,,,,,,,,2.0,8271.0,Sanju Samson,Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Sanju Samson,c Klaasen b Harshal Patel,66,37,7,4,178.38,2,inn2,Sanju Samson,Samson,,,,,,,,,,,2.0,8271.0,Sanju Samson (c & wk),Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Riyan Parag (c),c Cummins b Simarjeet Singh,4,2,1,0,200.0,3,inn2,Riyan Parag,Parag,,,,,,,,,,,3.0,12305.0,Riyan Parag (c),Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Riyan Parag (c),c Cummins b Simarjeet Singh,4,2,1,0,200.0,3,inn2,Riyan Parag,Parag,,,,,,,,,,,3.0,12305.0,Riyan Parag,Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Nitish Rana,c Cummins b Shami,11,8,2,0,137.5,4,inn2,Nitish Rana,nrana,Nitish Rana,1.0,0.0,9.0,0.0,0.0,0.0,9.0,7.0,Nitish Rana,4.0,9204.0,Nitish Rana,Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Dhruv Jurel (wk),c Ishan Kishan b Zampa,70,35,5,6,200.0,5,inn2,Dhruv Jurel,Jurel,,,,,,,,,,,5.0,14691.0,Dhruv Jurel (wk),Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Dhruv Jurel (wk),c Ishan Kishan b Zampa,70,35,5,6,200.0,5,inn2,Dhruv Jurel,Jurel,,,,,,,,,,,5.0,14691.0,Dhruv Jurel,Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Tushar Deshpande,Did not bat,0,0,0,0,0.0,12,inn2,Tushar Deshpande,Deshpande,Tushar Deshpande,4.0,0.0,44.0,3.0,0.0,5.0,11.0,6.0,Tushar Deshpande,6.0,11307.0,Tushar Deshpande,Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Shimron Hetmyer,c Abhinav Manohar b Harshal Patel,42,23,1,4,182.61,6,inn2,Shimron Hetmyer,Hetmyer,,,,,,,,,,,6.0,9789.0,Shimron Hetmyer,Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Shubham Dubey,not out,34,11,1,4,309.09,7,inn2,Shubham Dubey,Dubey,,,,,,,,,,,7.0,19328.0,Shubham Dubey,Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Jofra Archer,not out,1,1,0,0,100.0,8,inn2,Jofra Archer,Archer,Jofra Archer,4.0,0.0,76.0,0.0,1.0,2.0,19.0,9.0,Jofra Archer,8.0,11540.0,Jofra Archer,Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Sandeep Sharma,Did not bat,0,0,0,0,0.0,12,inn2,Sandeep Sharma,ssharma,Sandeep Sharma,4.0,0.0,51.0,1.0,0.0,0.0,12.8,8.0,Sandeep Sharma,8.0,8356.0,Sandeep Sharma,Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114967,Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match,Sunrisers Hyderabad won by 44 runs,SRH,RR,23-Mar,,Sandeep Sharma,Did not bat,0,0,0,0,0.0,12,inn2,Sandeep Sharma,ssharma,Sandeep Sharma,4.0,0.0,51.0,1.0,0.0,0.0,12.8,8.0,Sandeep Sharma,8.0,36487.0,Suyash Sharma,Royal Challengers Bengaluru 
